"Group","Zip","Path","MB","File"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Alexander Kopeikin - 100 kHz Designed Ice/ice, block of ice crushed, heavy-015.wav","0.78","ice, block of ice crushed, heavy-015.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Alexander Kopeikin - 100 kHz Designed Ice/ice, crack, ice block snapping-001.wav","1.64","ice, crack, ice block snapping-001.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Alexander Kopeikin - 100 kHz Designed Ice/ice, surface cracking, fissure, fast, hard-003.wav","2.77","ice, surface cracking, fissure, fast, hard-003.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Alexander Kopeikin - 100 kHz Designed Ice/ice, movement, ice drift, ice field cracking up, initial, wide-001.wav","45.75","ice, movement, ice drift, ice field cracking up, initial, wide-001.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Epic Stock Media - Tower Defense Game/ICEBrk_Skill Freeze Whoosh Break Impact Layered Movement Shatter 03_ESM_TDG.wav","4.48","ICEBrk_Skill Freeze Whoosh Break Impact Layered Movement Shatter 03_ESM_TDG.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Epic Stock Media - Elemental Mutation Whooshes and Impacts/GLASMvmt_Whoosh Glass Crystal Fragments Sharp Shards Dry 05_ESM_EMWI.wav","1.82","GLASMvmt_Whoosh Glass Crystal Fragments Sharp Shards Dry 05_ESM_EMWI.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Cinematic Sound Design - Colossal Impacts/Woosh Debris.wav","1.31","Woosh Debris.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Epic Stock Media - Halloween Game - Haunted House and Horror Audio Scare Kit/GORESplt_Gore Designed Transient Heavy Impact Smash 01_ESM_HALG.wav","1.18","GORESplt_Gore Designed Transient Heavy Impact Smash 01_ESM_HALG.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Epic Stock Media - Anime Game/EXPLDsgn_Explosion Small Blast Enemy Death Crunchy Boom Cartoon Noisy Crash Impact Delay 03_ESM_AG.wav","1.34","EXPLDsgn_Explosion Small Blast Enemy Death Crunchy Boom Cartoon Noisy Crash Impact Delay 03_ESM_AG.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Cinematic Sound Design - UI Interaction Elements/Accept Boing Crunch.wav","0.53","Accept Boing Crunch.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle3of5.zip","Ivo Vicic - Fireworks FX/13 Fireworks_powerful explosions_multiples in a row_near.wav","13.3","13 Fireworks_powerful explosions_multiples in a row_near.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle3of5.zip","Ivo Vicic - Fireworks FX/02 Fireworks_ explosions_dense_whistles.wav","53.57","02 Fireworks_ explosions_dense_whistles.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle4of5.zip","Sonic Bat - Fireworks Ambience/SBfa_Fireworks 001.wav","24.67","SBfa_Fireworks 001.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle3of5.zip","Jake Fielding - Interior Wind Rain and Storms/HAIL_Hail on Door Window, UVPC_JF_INT Storm.wav","36.44","HAIL_Hail on Door Window, UVPC_JF_INT Storm.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Epic Stock Media - Synthesized Nature Loops and Sounds/FIREBurn_Loop Elements Fire Crackling Crunchy Flame Burn 03_ESM_SNLS.wav","3.73","FIREBurn_Loop Elements Fire Crackling Crunchy Flame Burn 03_ESM_SNLS.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle3of5.zip","Ivo Vicic - Campfire - Bonfire FX/24 Campfire, Dropping Fresh Pine Branches in Fire, Crackling, Sizzling Strong, Close 02.wav","66.25","24 Campfire, Dropping Fresh Pine Branches in Fire, Crackling, Sizzling Strong, Close 02.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle2of5.zip","Epic Stock Media - Public Spaces - Urban Life Exteriors/AMBCnst_Baltimore Construction Streetside Heavy Machinery And Jakchammers 01_ESM_CPS.wav","60.52","AMBCnst_Baltimore Construction Streetside Heavy Machinery And Jakchammers 01_ESM_CPS.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle1of5.zip","344 Audio - Dinosaurs Vol. 2/ANMLRept_Dinosaur Eating Meat 01_344 Audio_Dinosaurs Vol 2.wav","10.75","ANMLRept_Dinosaur Eating Meat 01_344 Audio_Dinosaurs Vol 2.wav"
"tile_break","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle1of5.zip","344 Audio - Barbershop Vol. 2/OBJMisc_Hair Scissor, Snips 4_344 Audio_Barbershop Vol 2.wav","2.85","OBJMisc_Hair Scissor, Snips 4_344 Audio_Barbershop Vol 2.wav"
"debris_scatter","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle1of5.zip","344 Audio - Cinema Experience Vol. 1/FOODMisc_Broom Sweeping Up Snacks On Hard Floor 2_344 Audio_CInema Experience.wav","3.29","FOODMisc_Broom Sweeping Up Snacks On Hard Floor 2_344 Audio_CInema Experience.wav"
"debris_scatter","C:\Users\amdic\dev\MTile\Assets\Sounds\Sonniss.com-GDC2026-GameAudioBundle1of5.zip","344 Audio - Antique Books/PAPRMisc_Pile Of Antique Books Falling Over 8_344 Audio_Antiques - Books.wav","1.55","PAPRMisc_Pile Of Antique Books Falling Over 8_344 Audio_Antiques - Books.wav"
