scenario,method,block,rows,sumsq,share
biped/idle,f32,PlantedContactsConstraint,0,0,0
biped/idle,f32,FixedPointConstraint,0,0,0
biped/idle,f32,NoPenetrationConstraint,14,0.000542117,0.003086
biped/idle,f32,ActionAimConstraint,0,0,0
biped/idle,f32,PlaybackContinuityConstraint,1,0,0
biped/idle,f32,PhaseRateFloorConstraint,1,0,0
biped/idle,f32,ComOffsetConstraint,2,0.151795,0.8642
biped/idle,f32,PosePriorConstraint,14,0.0233134,0.1327
biped/idle,f32,ThetaSmoothnessConstraint,14,8.18887E-12,4.662E-11
biped/idle,f64,PlantedContactsConstraint,0,0,0
biped/idle,f64,FixedPointConstraint,0,0,0
biped/idle,f64,NoPenetrationConstraint,14,0.000542192,0.003087
biped/idle,f64,ActionAimConstraint,0,0,0
biped/idle,f64,PlaybackContinuityConstraint,1,0,0
biped/idle,f64,PhaseRateFloorConstraint,1,0,0
biped/idle,f64,ComOffsetConstraint,2,0.151794,0.8642
biped/idle,f64,PosePriorConstraint,14,0.0233136,0.1327
biped/idle,f64,ThetaSmoothnessConstraint,14,6.91692E-12,3.938E-11
biped/idle,f64_to_f32,PlantedContactsConstraint,0,0,0
biped/idle,f64_to_f32,FixedPointConstraint,0,0,0
biped/idle,f64_to_f32,NoPenetrationConstraint,14,0.000542143,0.003086
biped/idle,f64_to_f32,ActionAimConstraint,0,0,0
biped/idle,f64_to_f32,PlaybackContinuityConstraint,1,0,0
biped/idle,f64_to_f32,PhaseRateFloorConstraint,1,0,0
biped/idle,f64_to_f32,ComOffsetConstraint,2,0.151795,0.8642
biped/idle,f64_to_f32,PosePriorConstraint,14,0.0233133,0.1327
biped/idle,f64_to_f32,ThetaSmoothnessConstraint,14,7.3988E-12,4.212E-11
biped/idle,qr,PlantedContactsConstraint,0,0,0
biped/idle,qr,FixedPointConstraint,0,0,0
biped/idle,qr,NoPenetrationConstraint,14,0.000542184,0.003087
biped/idle,qr,ActionAimConstraint,0,0,0
biped/idle,qr,PlaybackContinuityConstraint,1,0,0
biped/idle,qr,PhaseRateFloorConstraint,1,0,0
biped/idle,qr,ComOffsetConstraint,2,0.151794,0.8642
biped/idle,qr,PosePriorConstraint,14,0.0233136,0.1327
biped/idle,qr,ThetaSmoothnessConstraint,14,7.65183E-12,4.356E-11
biped/run,f32,PlantedContactsConstraint,2,0.0112419,0.0445
biped/run,f32,FixedPointConstraint,0,0,0
biped/run,f32,NoPenetrationConstraint,14,0,0
biped/run,f32,ActionAimConstraint,0,0,0
biped/run,f32,PlaybackContinuityConstraint,1,6.12452E-07,2.424E-06
biped/run,f32,PhaseRateFloorConstraint,1,0,0
biped/run,f32,ComOffsetConstraint,2,0.218373,0.8645
biped/run,f32,PosePriorConstraint,14,0.0170137,0.06735
biped/run,f32,ThetaSmoothnessConstraint,14,0.0059854,0.02369
biped/run,f64,PlantedContactsConstraint,2,0.0147312,0.6268
biped/run,f64,FixedPointConstraint,0,0,0
biped/run,f64,NoPenetrationConstraint,14,0,0
biped/run,f64,ActionAimConstraint,0,0,0
biped/run,f64,PlaybackContinuityConstraint,1,0.00393732,0.1675
biped/run,f64,PhaseRateFloorConstraint,1,0,0
biped/run,f64,ComOffsetConstraint,2,0.00155933,0.06635
biped/run,f64,PosePriorConstraint,14,0.00194777,0.08288
biped/run,f64,ThetaSmoothnessConstraint,14,0.00132559,0.05641
biped/run,f64_to_f32,PlantedContactsConstraint,2,0.00847636,0.03294
biped/run,f64_to_f32,FixedPointConstraint,0,0,0
biped/run,f64_to_f32,NoPenetrationConstraint,28,0,0
biped/run,f64_to_f32,ActionAimConstraint,0,0,0
biped/run,f64_to_f32,PlaybackContinuityConstraint,1,0.00836889,0.03253
biped/run,f64_to_f32,PhaseRateFloorConstraint,1,0,0
biped/run,f64_to_f32,ComOffsetConstraint,2,0.164474,0.6392
biped/run,f64_to_f32,PosePriorConstraint,14,0.057308,0.2227
biped/run,f64_to_f32,ThetaSmoothnessConstraint,14,0.0186786,0.07259
biped/run,qr,PlantedContactsConstraint,2,0.0265195,0.5575
biped/run,qr,FixedPointConstraint,0,0,0
biped/run,qr,NoPenetrationConstraint,14,0,0
biped/run,qr,ActionAimConstraint,0,0,0
biped/run,qr,PlaybackContinuityConstraint,1,0.00438743,0.09223
biped/run,qr,PhaseRateFloorConstraint,1,0,0
biped/run,qr,ComOffsetConstraint,2,0.0114829,0.2414
biped/run,qr,PosePriorConstraint,14,0.0026812,0.05636
biped/run,qr,ThetaSmoothnessConstraint,14,0.00249893,0.05253
biped_rabbit/idle,f32,PlantedContactsConstraint,0,0,0
biped_rabbit/idle,f32,FixedPointConstraint,0,0,0
biped_rabbit/idle,f32,NoPenetrationConstraint,18,0.00032817,0.002394
